Date,SpotPrice,FuturesPrice,TheoreticalPrice,PriceDifference
2023-05-10,4137.64,4332.0,4150.222960000001,181.77703999999903
2023-05-09,4119.17,4315.0,4132.035352876712,182.96464712328816
2023-05-08,4138.12,4330.0,4151.384658630137,178.61534136986302
2023-05-05,4136.25,4324.0,4150.528561643835,173.47143835616498
2023-05-04,4061.22,4244.0,4075.5733528767123,168.4266471232877
2023-05-03,4090.75,4284.0,4105.543945205479,178.45605479452115
2023-05-02,4119.58,4317.0,4134.816802739726,182.18319726027403
2023-05-01,4167.87,4372.0,4183.627974246575,188.37202575342508
2023-04-28,4169.48,4372.0,4186.272152328766,185.72784767123358
2023-04-27,4135.35,4337.0,4152.344589041096,184.6554109589042
2023-04-26,4055.99,4252.0,4072.9918210958904,179.00817890410963
2023-04-25,4071.63,4269.0,4089.032035068493,179.96796493150714
2023-04-24,4137.04,4351.0,4155.06162630137,195.93837369863013
2023-04-21,4133.52,4348.0,4152.545516712329,195.45448328767088
2023-04-20,4129.79,4344.0,4149.1377832876715,194.86221671232852
2023-04-19,4154.52,4375.0,4174.325109041096,200.67489095890414
2023-04-18,4154.87,4375.0,4175.01827369863,199.98172630137014
2023-04-17,4151.32,4367.0,4171.792263013698,195.20773698630182
2023-04-14,4137.64,4352.0,4159.06504,192.9349599999996
2023-04-13,4146.22,4358.0,4168.030253150685,189.96974684931502
2023-04-12,4091.95,4303.0,4113.811102739726,189.18889726027373
2023-04-11,4108.94,4321.0,4131.229592328767,189.77040767123344
2023-04-10,4109.11,4321.0,4131.738249589041,189.2617504109594
2023-04-06,4105.02,4310.0,4128.975322191782,181.02467780821826
